! SHMS reconstruction optics
! made with Cosy from `shms-2011-26cm-monte_q2_m015
! order: 5
 ------------------------------------------------------------------------------
  -4057.61036     -255.904054     -429.793218     -11251.9958     01220
 -0.279625605     -1352.44171      251.498288    -0.528902943     00320
   141.997318      14440.6984     -2804.89625      251.286208     30011
  -1251.03614     -133962.182      25829.7367     -2351.18115     21011
   3308.69759      372582.320     -71135.4292      6718.63598     12011
  -2515.71582     -292820.327      55124.5346     -5646.31558     03011
  -2143.50533     -97.9865307     -203.964554     -4106.48097     20111
   14584.1157      186.855123      1468.97723      29857.3930     11111
  -22421.6257      660.641332     -2468.03328     -50843.0575     02111
   48.9318139      6520.75132     -1266.17323      91.5679816     10211
  -176.598497     -24012.3794      4617.25376     -339.531588     01211
  -58.1810900     -22.5030619     -4.56813881     -146.330383     00311
   1180.83459     -245.264611      151.600955      2028.46949     30002
  -10899.2582      2319.77304     -1435.78102     -19939.1164     21002
   31135.1367     -6853.95385      4242.29129      61694.5992     12002
  -26836.9257      6190.48480     -3823.78323     -58947.0485     03002
  -44.7932685     -2500.84284      486.753599     -75.7153718     20102
   271.709944      15649.4898     -3026.66325      487.768060     11102
  -376.392743     -22138.0660      4244.56859     -730.180139     02102
   132.440099      22.8593364      8.64750690      232.263380     10202
  -458.026018     -59.7727473     -33.0728826     -850.888706     01202
  -1.25294073     -119.087766      23.1684290     -2.26746392     00302
   431.257222      102527.214     -19764.5321      808.037269     20030
  -3032.84537     -724137.971      138009.563     -5906.14213     11030
   4223.02713      1093817.27     -204872.982      9040.21155     02030
  -5715.31724     -211.247998     -770.868164     -15729.4390     10130
   28835.7148     -203.852580      3287.33758      79926.8992     01130
   3.85463431      15376.0442     -2872.28239      7.07717221     00230
   11124.2321     -323.124199      1190.92692      21341.0206     20021
  -75392.9334      4665.79747     -8514.45299     -154566.933     11021
   115216.548     -11937.1984      14141.5715      261871.003     02021
  -443.104641     -69085.1046      13384.0173     -827.604563     10121
   1563.30738      251938.421     -48339.5711      3002.57832     01121
   962.489232      275.525858      85.3905910      2405.55455     00221
   301.219748      26537.6044     -5155.18662      513.600950     20012
  -1755.27681     -164957.385      31834.0561     -3187.40960     11012
   2305.19393      231616.876     -44296.9753      4535.66535     02012
  -2797.91973     -257.647285     -219.793072     -4908.97440     10112
   9598.26056      505.452330      818.549659      17858.5661     01112
   35.4957786      3847.09455     -747.299698      64.1313060     00212
   1544.73827     -297.421165      186.647719      2495.42819     20003
  -9514.82725      1879.10472     -1180.12517     -16349.1417     11003
   13604.0949     -2787.00262      1748.39508      25315.6491     02003
  -42.0319663     -2074.68949      403.333326     -67.9259710     10103
   126.961531      6531.33697     -1262.65456      218.189503     01103
   57.3923154      12.6285633      2.87021791      93.5471629     00203
   15115.5639     -500.785232      2128.71438      41596.7608     10040
  -76122.9332      5677.38186     -9277.90774     -211051.855     01040
  -20.8632187     -84676.0749      15806.1384     -37.1161317     00140
   1291.09297      242290.602     -46823.5096      2408.10444     10031
  -4430.86698     -877533.583      167998.115     -8501.49679     01031
  -6931.79164     -1356.64296     -681.332471     -17289.2015     00131
   14580.6436      202.269536      1331.25273      25609.2274     10022
  -49840.8812      1215.46166     -4887.16619     -92854.2175     01022
  -324.432716     -41039.4156      7955.92804     -586.568473     00122
   284.572652      22074.0484     -4286.62047      465.907928     10013
  -825.222711     -69016.8694      13324.5614     -1443.23737     01013
  -1218.07774     -164.710770     -78.1726563     -1984.67797     00113
   1020.05103     -182.518366      116.407449      1557.11689     10004
  -3150.08284      578.236065     -368.885235     -5105.91862     01004
  -14.8375957     -656.329453      127.386457     -22.9185292     00104
   39.7354312      181978.962     -33863.3015      68.3130475     00050
   18423.2736      2049.82462      1979.43697      46018.0840     00041
   955.451243      144878.158     -28024.6062      1731.98370     00032
   6376.94544      339.451387      495.704548      10394.4901     00023
   101.142517      7003.27099     -1358.98279      158.739206     00014
   272.177094     -45.3299696      29.4098405      394.113155     00005
 ------------------------------------------------------------------------------
